Gefährdete Tiere auf der Roten Liste bis 2022;;
Anzahl der gefährdeten Tierarten auf der Roten Liste von 2000 bis 2022;;
;Wirbeltiere;Wirbellose
2000;3.507;1.928
2002;3.521;1.932
2003;3.524;1.959
2004;5.188;1.992
2006;5.622;2.102
2007;5.742;2.109
2008;5.966;2.496
2009;6.143;2.639
2010;6.714;2.904
2011;7.108;3.297
2012;7.250;3.570
2013;7.390;3.822
2014;7.678;4.140
2015;7.781;4.201
2016;8.160;4.470
2017;8.374;4.893
2018;8.442;5.040
2019;9.013;5.221
2020;9.677;5.489
2021;10.437;6.042
2022;10.739;6.161
